,date,region,measures,unit,index_value,joinYear,joinMonth,joinProvince
82,1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",73.9,1984,03,Canada
83,1984-03,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",91.8,1984,03,Canada
84,1984-03,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",92.8,1984,03,Canada
85,1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.0,1984,03,Canada
86,1984-03,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.7,1984,03,Canada
87,1984-03,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",91.9,1984,03,Canada
88,1984-03,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,03,Canada
89,1984-03,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,03,Canada
90,1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",62.8,1984,04,Canada
91,1984-04,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4,1984,04,Canada
92,1984-04,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.9,1984,04,Canada
93,1984-04,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.3,1984,04,Canada
94,1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.2,1984,04,Canada
95,1984-04,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.2,1984,04,Canada
96,1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.1,1984,04,Canada
97,1984-04,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.1,1984,04,Canada
98,1984-04,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.0,1984,04,Canada
99,1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.2,1984,04,Canada
100,1984-04,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.0,1984,04,Canada
101,1984-04,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.2,1984,04,Canada
102,1984-04,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,04,Canada
103,1984-04,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,04,Canada
104,1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.0,1984,05,Canada
105,1984-05,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.4,1984,05,Canada
106,1984-05,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",63.9,1984,05,Canada
107,1984-05,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.3,1984,05,Canada
108,1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.4,1984,05,Canada
109,1984-05,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.3,1984,05,Canada
110,1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.5,1984,05,Canada
111,1984-05,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.3,1984,05,Canada
112,1984-05,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.1,1984,05,Canada
113,1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.5,1984,05,Canada
114,1984-05,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.1,1984,05,Canada
115,1984-05,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.6,1984,05,Canada
116,1984-05,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,05,Canada
117,1984-05,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,05,Canada
118,1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.1,1984,06,Canada
119,1984-06,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.1,1984,06,Canada
120,1984-06,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.3,1984,06,Canada
121,1984-06,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",76.7,1984,06,Canada
122,1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.5,1984,06,Canada
123,1984-06,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",76.6,1984,06,Canada
124,1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.6,1984,06,Canada
125,1984-06,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.4,1984,06,Canada
126,1984-06,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",93.5,1984,06,Canada
127,1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",92.7,1984,06,Canada
128,1984-06,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.5,1984,06,Canada
129,1984-06,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",92.8,1984,06,Canada
130,1984-06,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,06,Canada
131,1984-06,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,06,Canada
132,1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.4,1984,07,Canada
133,1984-07,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,4.0,1984,07,Canada
134,1984-07,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.5,1984,07,Canada
135,1984-07,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.1,1984,07,Canada
136,1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",74.8,1984,07,Canada
137,1984-07,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.0,1984,07,Canada
138,1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.8,1984,07,Canada
139,1984-07,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.6,1984,07,Canada
140,1984-07,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.0,1984,07,Canada
141,1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.0,1984,07,Canada
142,1984-07,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.9,1984,07,Canada
143,1984-07,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.1,1984,07,Canada
144,1984-07,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,07,Canada
145,1984-07,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,07,Canada
146,1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.5,1984,08,Canada
147,1984-08,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.7,1984,08,Canada
148,1984-08,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.5,1984,08,Canada
149,1984-08,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.1,1984,08,Canada
150,1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.0,1984,08,Canada
151,1984-08,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.1,1984,08,Canada
152,1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.0,1984,08,Canada
153,1984-08,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",92.8,1984,08,Canada
154,1984-08,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.0,1984,08,Canada
155,1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.3,1984,08,Canada
156,1984-08,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.0,1984,08,Canada
157,1984-08,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.3,1984,08,Canada
158,1984-08,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,08,Canada
159,1984-08,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,08,Canada
160,1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.7,1984,09,Canada
161,1984-09,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.7,1984,09,Canada
162,1984-09,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.6,1984,09,Canada
163,1984-09,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.2,1984,09,Canada
164,1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.2,1984,09,Canada
165,1984-09,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.2,1984,09,Canada
166,1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",75.2,1984,09,Canada
167,1984-09,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.2,1984,09,Canada
168,1984-09,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.1,1984,09,Canada
169,1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.6,1984,09,Canada
170,1984-09,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.2,1984,09,Canada
171,1984-09,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.5,1984,09,Canada
172,1984-09,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI),Percent,0.0,1984,09,Canada
173,1984-09,Canada,Contribution of indirect taxes to monthly growth rate of the Consumer Price Index (CPI) excluding food and energy,Percent,0.0,1984,09,Canada
174,1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 2002=100",63.8,1984,10,Canada
175,1984-10,Canada,Consumer Price Index (CPI) inversely weighted by volatility and is adjusted to exclude the effect of changes in indirect taxes (CPIW) (year-over-year percent change),Percent,3.5,1984,10,Canada
176,1984-10,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 2002=100",64.7,1984,10,Canada
177,1984-10,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1992=100",77.2,1984,10,Canada
178,1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1992=100",75.3,1984,10,Canada
179,1984-10,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1992=100",77.1,1984,10,Canada
180,1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1992=100",74.9,1984,10,Canada
181,1984-10,Canada,Consumer Price Index (CPI) excluding 8 of the most volatile components and indirect taxes (CPIX),"Index, 1986=100",93.4,1984,10,Canada
182,1984-10,Canada,Consumer Price Index (CPI) excluding the effect of indirect taxes,"Index, 1986=100",94.1,1984,10,Canada
183,1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes","Index, 1986=100",93.6,1984,10,Canada
184,1984-10,Canada,"Consumer Price Index (CPI) excluding the effect of indirect taxes, seasonally adjusted","Index, 1986=100",94.0,1984,10,Canada
185,1984-10,Canada,"Consumer Price Index (CPI) excluding food, energy and the effect of indirect taxes, seasonally adjusted","Index, 1986=100",93.2,1984,10,Canada
